Chaperone_Name,Chaperone_ID,Target_ID,Target_Protein_Name,Domain_ID,Interaction_Label,Source
DNJA1_HUMAN,P31689,Q9BVQ7,ATPase family gene 2 protein homolog B,PF00004,1,IntAct
DNJA1_HUMAN,P31689,Q9BVQ7,ATPase family gene 2 protein homolog B,PF17862,1,IntAct
DNJA1_HUMAN,P31689,P42898,Methylenetetrahydrofolate reductase,PF02219,1,IntAct
DNJA1_HUMAN,P31689,P42898,Methylenetetrahydrofolate reductase,PF21895,1,IntAct
DNJA1_HUMAN,P31689,Q99558,Mitogen-activated protein kinase kinase kinase 14,PF00069,1,IntAct
DNJA1_HUMAN,P31689,P53671,LIM domain kinase 2,PF00412,1,IntAct
DNJA1_HUMAN,P31689,P53671,LIM domain kinase 2,PF00595,1,IntAct
DNJA1_HUMAN,P31689,P53671,LIM domain kinase 2,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q13439,Golgin subfamily A member 4,PF01465,1,IntAct
DNJA1_HUMAN,P31689,Q9NYJ8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,PF02845,1,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,Intraflagellar transport protein 122 homolog,PF23381,1,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,Intraflagellar transport protein 122 homolog,PF23377,1,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,Intraflagellar transport protein 122 homolog,PF25295,1,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,Intraflagellar transport protein 122 homolog,PF25144,1,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,Intraflagellar transport protein 122 homolog,PF25143,1,IntAct
DNJA1_HUMAN,P31689,Q13617,Cullin-2,PF00888,1,IntAct
DNJA1_HUMAN,P31689,Q13617,Cullin-2,PF10557,1,IntAct
DNJA1_HUMAN,P31689,Q96FW1,Ubiquitin thioesterase OTUB1,PF10275,1,IntAct
DNJA1_HUMAN,P31689,P05213,Tubulin alpha-1B chain,PF00091,1,IntAct
DNJA1_HUMAN,P31689,P05213,Tubulin alpha-1B chain,PF03953,1,IntAct
DNJA1_HUMAN,P31689,Q6ZMQ8,Serine/threonine-protein kinase LMTK1,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q96BE0,Heat shock cognate 71 kDa protein,PF00012,1,IntAct
DNJA1_HUMAN,P31689,Q13882,Protein-tyrosine kinase 6,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q13882,Protein-tyrosine kinase 6,PF00017,1,IntAct
DNJA1_HUMAN,P31689,Q13882,Protein-tyrosine kinase 6,PF00018,1,IntAct
DNJA1_HUMAN,P31689,O15524,Suppressor of cytokine signaling 1,PF00017,1,IntAct
DNJA1_HUMAN,P31689,O15524,Suppressor of cytokine signaling 1,PF07525,1,IntAct
DNJA1_HUMAN,P31689,P41743,Protein kinase C iota type,PF00130,1,IntAct
DNJA1_HUMAN,P31689,P41743,Protein kinase C iota type,PF00564,1,IntAct
DNJA1_HUMAN,P31689,P41743,Protein kinase C iota type,PF00069,1,IntAct
DNJA1_HUMAN,P31689,P41743,Protein kinase C iota type,PF00433,1,IntAct
DNJA1_HUMAN,P31689,O95831,"Apoptosis-inducing factor 1, mitochondrial",PF14721,1,IntAct
DNJA1_HUMAN,P31689,O95831,"Apoptosis-inducing factor 1, mitochondrial",PF07992,1,IntAct
DNJA1_HUMAN,P31689,Q77M19,Non-structural protein V,PF13825,1,IntAct
DNJA1_HUMAN,P31689,Q77M19,Non-structural protein V,PF13008,1,IntAct
DNJA1_HUMAN,P31689,P83110,Serine protease HTRA3,PF00219,1,IntAct
DNJA1_HUMAN,P31689,P83110,Serine protease HTRA3,PF07648,1,IntAct
DNJA1_HUMAN,P31689,P83110,Serine protease HTRA3,PF13180,1,IntAct
DNJA1_HUMAN,P31689,P83110,Serine protease HTRA3,PF13365,1,IntAct
DNJA1_HUMAN,P31689,Q04206,Transcription factor p65,PF16179,1,IntAct
DNJA1_HUMAN,P31689,Q04206,Transcription factor p65,PF00554,1,IntAct
DNJA1_HUMAN,P31689,A0JLT2,Mediator of RNA polymerase II transcription subunit 19,PF10278,1,IntAct
DNJA1_HUMAN,P31689,Q6IQ23,Pleckstrin homology domain-containing family A member 7,PF00169,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23745,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23744,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23748,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF16095,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF25497,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF13855,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF08477,1,IntAct
DNJA1_HUMAN,P31689,Q9H074,Polyadenylate-binding protein-interacting protein 1,PF02854,1,IntAct
DNJA1_HUMAN,P31689,Q9H074,Polyadenylate-binding protein-interacting protein 1,PF07145,1,IntAct
DNJA1_HUMAN,P31689,P0DOE9,Non-structural protein 1,PF03438,1,IntAct
DNJA1_HUMAN,P31689,Q13164,Mitogen-activated protein kinase 7,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,PF01392,1,IntAct
DNJA1_HUMAN,P31689,Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,PF07679,1,IntAct
DNJA1_HUMAN,P31689,Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,PF00051,1,IntAct
DNJA1_HUMAN,P31689,Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q05513,Protein kinase C zeta type,PF00130,1,IntAct
DNJA1_HUMAN,P31689,Q05513,Protein kinase C zeta type,PF00564,1,IntAct
DNJA1_HUMAN,P31689,Q05513,Protein kinase C zeta type,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q05513,Protein kinase C zeta type,PF00433,1,IntAct
DNJA1_HUMAN,P31689,Q2TB90,Hexokinase HKDC1,PF00349,1,IntAct
DNJA1_HUMAN,P31689,Q2TB90,Hexokinase HKDC1,PF03727,1,IntAct
DNJA1_HUMAN,P31689,P57078,Receptor-interacting serine/threonine-protein kinase 4,PF12796,1,IntAct
DNJA1_HUMAN,P31689,P57078,Receptor-interacting serine/threonine-protein kinase 4,PF13637,1,IntAct
DNJA1_HUMAN,P31689,P57078,Receptor-interacting serine/threonine-protein kinase 4,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q15468,SCL-interrupting locus protein,PF15253,1,IntAct
DNJA1_HUMAN,P31689,P35240,Merlin,PF00769,1,IntAct
DNJA1_HUMAN,P31689,P35240,Merlin,PF20492,1,IntAct
DNJA1_HUMAN,P31689,P35240,Merlin,PF09380,1,IntAct
DNJA1_HUMAN,P31689,P35240,Merlin,PF00373,1,IntAct
DNJA1_HUMAN,P31689,P35240,Merlin,PF09379,1,IntAct
DNJA1_HUMAN,P31689,Q13620,Cullin-4B,PF00888,1,IntAct
DNJA1_HUMAN,P31689,Q13620,Cullin-4B,PF10557,1,IntAct
DNJA1_HUMAN,P31689,Q14444,Caprin-1,PF12287,1,IntAct
DNJA1_HUMAN,P31689,Q14444,Caprin-1,PF18293,1,IntAct
DNJA1_HUMAN,P31689,P0DTD8,ORF7b protein,PF11395,1,IntAct
DNJA1_HUMAN,P31689,P69905,Hemoglobin subunit alpha,PF00042,1,IntAct
DNJA1_HUMAN,P31689,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1,PF01088,1,IntAct
DNJA1_HUMAN,P31689,Q13163,Dual specificity mitogen-activated protein kinase kinase 5,PF00564,1,IntAct
DNJA1_HUMAN,P31689,Q13163,Dual specificity mitogen-activated protein kinase kinase 5,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q99576,TSC22 domain family protein 3,PF01166,1,IntAct
DNJA1_HUMAN,P31689,Q13509,Tubulin beta-3 chain,PF00091,1,IntAct
DNJA1_HUMAN,P31689,Q13509,Tubulin beta-3 chain,PF03953,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF08699,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF16488,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF16487,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF16486,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF02170,1,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,Protein argonaute-4,PF02171,1,IntAct
DNJA1_HUMAN,P31689,Q9Y4K3,TNF receptor-associated factor 6,PF21355,1,IntAct
DNJA1_HUMAN,P31689,Q9Y4K3,TNF receptor-associated factor 6,PF18048,1,IntAct
DNJA1_HUMAN,P31689,Q9Y4K3,TNF receptor-associated factor 6,PF13923,1,IntAct
DNJA1_HUMAN,P31689,Q9Y4K3,TNF receptor-associated factor 6,PF02176,1,IntAct
DNJA1_HUMAN,P31689,P69479,Phosphoprotein,PF03012,1,IntAct
DNJA1_HUMAN,P31689,P0DTC3,ORF3a protein,PF11289,1,IntAct
DNJA1_HUMAN,P31689,Q14684,Ribosomal RNA processing protein 1 homolog B,PF05997,1,IntAct
DNJA1_HUMAN,P31689,P13569,Cystic fibrosis transmembrane conductance regulator,PF00664,1,IntAct
DNJA1_HUMAN,P31689,P13569,Cystic fibrosis transmembrane conductance regulator,PF00005,1,IntAct
DNJA1_HUMAN,P31689,P13569,Cystic fibrosis transmembrane conductance regulator,PF14396,1,IntAct
DNJA1_HUMAN,P31689,Q5JTY5,Zinc-regulated GTPase metalloprotein activator 1C,PF02492,1,IntAct
DNJA1_HUMAN,P31689,Q5JTY5,Zinc-regulated GTPase metalloprotein activator 1C,PF07683,1,IntAct
DNJA1_HUMAN,P31689,Q9UBN7,Protein deacetylase HDAC6,PF00850,1,IntAct
DNJA1_HUMAN,P31689,Q9UBN7,Protein deacetylase HDAC6,PF02148,1,IntAct
DNJA1_HUMAN,P31689,Q12933,TNF receptor-associated factor 2,PF21355,1,IntAct
DNJA1_HUMAN,P31689,Q12933,TNF receptor-associated factor 2,PF21341,1,IntAct
DNJA1_HUMAN,P31689,Q12933,TNF receptor-associated factor 2,PF16673,1,IntAct
DNJA1_HUMAN,P31689,Q12933,TNF receptor-associated factor 2,PF00097,1,IntAct
DNJA1_HUMAN,P31689,Q12933,TNF receptor-associated factor 2,PF02176,1,IntAct
DNJA1_HUMAN,P31689,Q15750,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,PF00481,1,IntAct
DNJA1_HUMAN,P31689,P35226,Polycomb complex protein BMI-1,PF16207,1,IntAct
DNJA1_HUMAN,P31689,P35226,Polycomb complex protein BMI-1,PF13923,1,IntAct
DNJA1_HUMAN,P31689,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PF07992,1,IntAct
DNJA1_HUMAN,P31689,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PF02852,1,IntAct
DNJA1_HUMAN,P31689,P04626,Receptor tyrosine-protein kinase erbB-2,PF00757,1,IntAct
DNJA1_HUMAN,P31689,P04626,Receptor tyrosine-protein kinase erbB-2,PF14843,1,IntAct
DNJA1_HUMAN,P31689,P04626,Receptor tyrosine-protein kinase erbB-2,PF07714,1,IntAct
DNJA1_HUMAN,P31689,P04626,Receptor tyrosine-protein kinase erbB-2,PF01030,1,IntAct
DNJA1_HUMAN,P31689,P04626,Receptor tyrosine-protein kinase erbB-2,PF21314,1,IntAct
DNJA1_HUMAN,P31689,P10636,Microtubule-associated protein tau,PF00418,1,IntAct
DNJA1_HUMAN,P31689,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,PF00619,1,IntAct
DNJA1_HUMAN,P31689,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,PF13516,1,IntAct
DNJA1_HUMAN,P31689,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,PF05729,1,IntAct
DNJA1_HUMAN,P31689,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,PF17776,1,IntAct
DNJA1_HUMAN,P31689,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,PF17779,1,IntAct
DNJA1_HUMAN,P31689,Q8WW22,DnaJ homolog subfamily A member 4,PF00226,1,IntAct
DNJA1_HUMAN,P31689,Q8WW22,DnaJ homolog subfamily A member 4,PF01556,1,IntAct
DNJA1_HUMAN,P31689,Q8WW22,DnaJ homolog subfamily A member 4,PF00684,1,IntAct
DNJA1_HUMAN,P31689,Q14CZ7,"FAST kinase domain-containing protein 3, mitochondrial",PF06743,1,IntAct
DNJA1_HUMAN,P31689,Q14CZ7,"FAST kinase domain-containing protein 3, mitochondrial",PF08368,1,IntAct
DNJA1_HUMAN,P31689,Q14CZ7,"FAST kinase domain-containing protein 3, mitochondrial",PF08373,1,IntAct
DNJA1_HUMAN,P31689,Q9Y281,Cofilin-2,PF00241,1,IntAct
DNJA1_HUMAN,P31689,Q93034,Cullin-5,PF00888,1,IntAct
DNJA1_HUMAN,P31689,Q93034,Cullin-5,PF10557,1,IntAct
DNJA1_HUMAN,P31689,Q9Z1B5,Mitotic spindle assembly checkpoint protein MAD2A,PF02301,1,IntAct
DNJA1_HUMAN,P31689,P03372,Estrogen receptor,PF12743,1,IntAct
DNJA1_HUMAN,P31689,P03372,Estrogen receptor,PF00104,1,IntAct
DNJA1_HUMAN,P31689,P03372,Estrogen receptor,PF02159,1,IntAct
DNJA1_HUMAN,P31689,P03372,Estrogen receptor,PF00105,1,IntAct
DNJA1_HUMAN,P31689,Q16526,Cryptochrome-1,PF00875,1,IntAct
DNJA1_HUMAN,P31689,Q16526,Cryptochrome-1,PF03441,1,IntAct
DNJA1_HUMAN,P31689,Q9BXK1,Krueppel-like factor 16,PF00096,1,IntAct
DNJA1_HUMAN,P31689,Q9NXB0,Tectonic-like complex member MKS1,PF07162,1,IntAct
DNJA1_HUMAN,P31689,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PF00675,1,IntAct
DNJA1_HUMAN,P31689,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PF05193,1,IntAct
DNJA1_HUMAN,P31689,Q15628,Tumor necrosis factor receptor type 1-associated DEATH domain protein,PF00531,1,IntAct
DNJA1_HUMAN,P31689,Q15628,Tumor necrosis factor receptor type 1-associated DEATH domain protein,PF09034,1,IntAct
DNJA1_HUMAN,P31689,Q9BY44,Eukaryotic translation initiation factor 2A,PF08662,1,IntAct
DNJA1_HUMAN,P31689,P83887,Tubulin gamma-1 chain,PF00091,1,IntAct
DNJA1_HUMAN,P31689,P83887,Tubulin gamma-1 chain,PF03953,1,IntAct
DNJA1_HUMAN,P31689,P52298,Nuclear cap-binding protein subunit 2,PF00076,1,IntAct
DNJA1_HUMAN,P31689,Q8NB90,ATPase family gene 2 protein homolog A,PF00004,1,IntAct
DNJA1_HUMAN,P31689,Q8NB90,ATPase family gene 2 protein homolog A,PF17862,1,IntAct
DNJA1_HUMAN,P31689,Q15334,Lethal,PF08366,1,IntAct
DNJA1_HUMAN,P31689,P06213,Insulin receptor,PF00041,1,IntAct
DNJA1_HUMAN,P31689,P06213,Insulin receptor,PF00757,1,IntAct
DNJA1_HUMAN,P31689,P06213,Insulin receptor,PF17870,1,IntAct
DNJA1_HUMAN,P31689,P06213,Insulin receptor,PF07714,1,IntAct
DNJA1_HUMAN,P31689,P06213,Insulin receptor,PF01030,1,IntAct
DNJA1_HUMAN,P31689,Q96SU4,Oxysterol-binding protein-related protein 9,PF01237,1,IntAct
DNJA1_HUMAN,P31689,Q96SU4,Oxysterol-binding protein-related protein 9,PF00169,1,IntAct
DNJA1_HUMAN,P31689,P07900,Heat shock protein HSP 90-alpha,PF13589,1,IntAct
DNJA1_HUMAN,P31689,P07900,Heat shock protein HSP 90-alpha,PF00183,1,IntAct
DNJA1_HUMAN,P31689,Q9Y2Q3,Glutathione S-transferase kappa 1,PF01323,1,IntAct
DNJA1_HUMAN,P31689,O75533,Splicing factor 3B subunit 1,PF22646,1,IntAct
DNJA1_HUMAN,P31689,O75533,Splicing factor 3B subunit 1,PF08920,1,IntAct
DNJA1_HUMAN,P31689,Q13043,Serine/threonine-protein kinase 4,PF11629,1,IntAct
DNJA1_HUMAN,P31689,Q13043,Serine/threonine-protein kinase 4,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q969S8,Polyamine deacetylase HDAC10,PF00850,1,IntAct
DNJA1_HUMAN,P31689,O75665,Centriole and centriolar satellite protein OFD1,PF16045,1,IntAct
DNJA1_HUMAN,P31689,P0DTC8,ORF8 protein,PF12093,1,IntAct
DNJA1_HUMAN,P31689,O43318,Mitogen-activated protein kinase kinase kinase 7,PF07714,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF07679,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF13927,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF22971,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF07714,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF21339,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF17988,1,IntAct
DNJA1_HUMAN,P31689,P35916,Vascular endothelial growth factor receptor 3,PF22854,1,IntAct
DNJA1_HUMAN,P31689,Q9NPF4,tRNA N6-adenosine threonylcarbamoyltransferase,PF00814,1,IntAct
DNJA1_HUMAN,P31689,Q71U36,Tubulin alpha-1A chain,PF00091,1,IntAct
DNJA1_HUMAN,P31689,Q71U36,Tubulin alpha-1A chain,PF03953,1,IntAct
DNJA1_HUMAN,P31689,P41240,Tyrosine-protein kinase CSK,PF07714,1,IntAct
DNJA1_HUMAN,P31689,P41240,Tyrosine-protein kinase CSK,PF00017,1,IntAct
DNJA1_HUMAN,P31689,P41240,Tyrosine-protein kinase CSK,PF00018,1,IntAct
DNJA1_HUMAN,P31689,Q13077,TNF receptor-associated factor 1,PF21355,1,IntAct
DNJA1_HUMAN,P31689,Q13077,TNF receptor-associated factor 1,PF16673,1,IntAct
DNJA1_HUMAN,P31689,P04637,Cellular tumor antigen p53,PF00870,1,IntAct
DNJA1_HUMAN,P31689,P04637,Cellular tumor antigen p53,PF08563,1,IntAct
DNJA1_HUMAN,P31689,P04637,Cellular tumor antigen p53,PF07710,1,IntAct
DNJA1_HUMAN,P31689,P04637,Cellular tumor antigen p53,PF18521,1,IntAct
DNJA1_HUMAN,P31689,P01889,"HLA class I histocompatibility antigen, B alpha chain",PF07654,1,IntAct
DNJA1_HUMAN,P31689,P01889,"HLA class I histocompatibility antigen, B alpha chain",PF00129,1,IntAct
DNJA1_HUMAN,P31689,P01889,"HLA class I histocompatibility antigen, B alpha chain",PF06623,1,IntAct
DNJA1_HUMAN,P31689,Q8IVT5,Kinase suppressor of Ras 1,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q8IVT5,Kinase suppressor of Ras 1,PF20406,1,IntAct
DNJA1_HUMAN,P31689,P49703,ADP-ribosylation factor-like protein 4D,PF00025,1,IntAct
DNJA1_HUMAN,P31689,Q06418,Tyrosine-protein kinase receptor TYRO3,PF00041,1,IntAct
DNJA1_HUMAN,P31689,Q06418,Tyrosine-protein kinase receptor TYRO3,PF07679,1,IntAct
DNJA1_HUMAN,P31689,Q06418,Tyrosine-protein kinase receptor TYRO3,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q13042,Cell division cycle protein 16 homolog,PF12895,1,IntAct
DNJA1_HUMAN,P31689,Q13042,Cell division cycle protein 16 homolog,PF13424,1,IntAct
DNJA1_HUMAN,P31689,Q9H492,Microtubule-associated protein 1 light chain 3 alpha,PF02991,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF03256,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF11515,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF00173,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF00632,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF06701,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF00415,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF25390,1,IntAct
DNJA1_HUMAN,P31689,O95714,E3 ubiquitin-protein ligase HERC2,PF00569,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF00130,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF11971,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF00169,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF00621,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF00017,1,IntAct
DNJA1_HUMAN,P31689,P15498,Proto-oncogene vav,PF00018,1,IntAct
DNJA1_HUMAN,P31689,Q8TB24,Ras and Rab interactor 3,PF23268,1,IntAct
DNJA1_HUMAN,P31689,Q8TB24,Ras and Rab interactor 3,PF02204,1,IntAct
DNJA1_HUMAN,P31689,Q9Y287,Integral membrane protein 2B,PF04089,1,IntAct
DNJA1_HUMAN,P31689,P11362,Fibroblast growth factor receptor 1,PF07679,1,IntAct
DNJA1_HUMAN,P31689,P11362,Fibroblast growth factor receptor 1,PF00047,1,IntAct
DNJA1_HUMAN,P31689,P11362,Fibroblast growth factor receptor 1,PF07714,1,IntAct
DNJA1_HUMAN,P31689,Q14249,"Endonuclease G, mitochondrial",PF01223,1,IntAct
DNJA1_HUMAN,P31689,O95166,Gamma-aminobutyric acid receptor-associated protein,PF02991,1,IntAct
DNJA1_HUMAN,P31689,P46734,Dual specificity mitogen-activated protein kinase kinase 3,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q13233,Mitogen-activated protein kinase kinase kinase 1,PF21040,1,IntAct
DNJA1_HUMAN,P31689,Q13233,Mitogen-activated protein kinase kinase kinase 1,PF00069,1,IntAct
DNJA1_HUMAN,P31689,Q13233,Mitogen-activated protein kinase kinase kinase 1,PF04434,1,IntAct
DNJA1_HUMAN,P31689,Q9Y251,Heparanase,PF03662,1,IntAct
DNJA1_HUMAN,P31689,Q9UBP0,Spastin,PF00004,1,IntAct
DNJA1_HUMAN,P31689,Q9UBP0,Spastin,PF17862,1,IntAct
DNJA1_HUMAN,P31689,Q9UBP0,Spastin,PF09336,1,IntAct
DNJA1_HUMAN,P31689,P04629,High affinity nerve growth factor receptor,PF13855,1,IntAct
DNJA1_HUMAN,P31689,P04629,High affinity nerve growth factor receptor,PF16920,1,IntAct
DNJA1_HUMAN,P31689,P04629,High affinity nerve growth factor receptor,PF07714,1,IntAct
