Target_ID,Target_Protein_Name,Domain_ID
Q4TT70,Regulator of G-protein signaling 11,PF00631
Q4TT70,Regulator of G-protein signaling 11,PF00615
Q4TT70,Regulator of G-protein signaling 11,PF18148
P01877,Immunoglobulin heavy constant alpha 2,PF07654
P01877,Immunoglobulin heavy constant alpha 2,PF00047
P32970,CD70 antigen,PF00229
P51817,cAMP-dependent protein kinase catalytic subunit PRKX,PF00069
Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,PF00171
Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,PF02911
Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,PF00551
Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,PF00550
Q9H3Y6,Tyrosine-protein kinase Srms,PF07714
Q9H3Y6,Tyrosine-protein kinase Srms,PF00017
Q9HCU5,Guanine nucleotide-exchange factor SEC12,PF00400
P23443,Ribosomal protein S6 kinase beta-1,PF00069
P23443,Ribosomal protein S6 kinase beta-1,PF00433
Q9NTM9,Copper homeostasis protein cutC homolog,PF03932
Q8N554,Zinc finger protein 276,PF07776
Q8N554,Zinc finger protein 276,PF00096
Q9Y5V3,Melanoma-associated antigen D1,PF01454
P15924,Desmoplakin,PF00681
P15924,Desmoplakin,PF17902
P15924,Desmoplakin,PF18373
P15924,Desmoplakin,PF21019
P49674,Casein kinase I isoform epsilon,PF00069
Q9C0D5,Protein TANC1,PF00023
Q9C0D5,Protein TANC1,PF12796
P09619,Platelet-derived growth factor receptor beta,PF00047
P09619,Platelet-derived growth factor receptor beta,PF13927
P09619,Platelet-derived growth factor receptor beta,PF25305
P09619,Platelet-derived growth factor receptor beta,PF07714
Q8N5U6,E3 ubiquitin-protein ligase RNF10,PF00097
O14744,Protein arginine N-methyltransferase 5,PF05185
O14744,Protein arginine N-methyltransferase 5,PF17286
O14744,Protein arginine N-methyltransferase 5,PF17285
O95831,"Apoptosis-inducing factor 1, mitochondrial",PF14721
O95831,"Apoptosis-inducing factor 1, mitochondrial",PF07992
Q9H511,Kelch-like protein 31,PF07707
Q9H511,Kelch-like protein 31,PF00651
Q9H511,Kelch-like protein 31,PF01344
Q9H511,Kelch-like protein 31,PF24681
P17252,Protein kinase C alpha type,PF00130
P17252,Protein kinase C alpha type,PF00168
P17252,Protein kinase C alpha type,PF00069
P17252,Protein kinase C alpha type,PF00433
P42685,Tyrosine-protein kinase FRK,PF07714
P42685,Tyrosine-protein kinase FRK,PF00017
P42685,Tyrosine-protein kinase FRK,PF00018
Q8IVU3,Probable E3 ubiquitin-protein ligase HERC6,PF00632
Q8IVU3,Probable E3 ubiquitin-protein ligase HERC6,PF25390
P23508,Colorectal mutant cancer protein,PF10506
P41743,Protein kinase C iota type,PF00130
P41743,Protein kinase C iota type,PF00564
P41743,Protein kinase C iota type,PF00069
P41743,Protein kinase C iota type,PF00433
Q05397,Focal adhesion kinase 1,PF21477
Q05397,Focal adhesion kinase 1,PF00373
Q05397,Focal adhesion kinase 1,PF18038
Q05397,Focal adhesion kinase 1,PF03623
Q05397,Focal adhesion kinase 1,PF07714
Q8TBB1,E3 ubiquitin-protein ligase LNX,PF00595
Q8TBB1,E3 ubiquitin-protein ligase LNX,PF00097
P62333,26S proteasome regulatory subunit 10B,PF00004
P62333,26S proteasome regulatory subunit 10B,PF17862
P62333,26S proteasome regulatory subunit 10B,PF16450
Q99497,Parkinson disease protein 7,PF01965
Q00526,Cyclin-dependent kinase 3,PF00069
Q16778,Histone H2B type 2-E,PF00125
Q9Y2F9,BTB/POZ domain-containing protein 3,PF07707
Q9Y2F9,BTB/POZ domain-containing protein 3,PF00651
Q9Y2F9,BTB/POZ domain-containing protein 3,PF08005
A5A3E0,POTE ankyrin domain family member F,PF00022
A5A3E0,POTE ankyrin domain family member F,PF12796
A5A3E0,POTE ankyrin domain family member F,PF14915
Q86TP1,Exopolyphosphatase PRUNE1,PF01368
Q86TP1,Exopolyphosphatase PRUNE1,PF02833
Q9BXA7,Testis-specific serine/threonine-protein kinase 1,PF00069
Q9NPB6,Partitioning defective 6 homolog alpha,PF00564
Q9NPB6,Partitioning defective 6 homolog alpha,PF00595
Q5FWF4,DNA annealing helicase and endonuclease ZRANB3,PF00271
Q5FWF4,DNA annealing helicase and endonuclease ZRANB3,PF01844
Q5FWF4,DNA annealing helicase and endonuclease ZRANB3,PF00176
Q5FWF4,DNA annealing helicase and endonuclease ZRANB3,PF00641
P0DN37,Peptidyl-prolyl cis-trans isomerase A-like 4G,PF00160
Q8NAP1,Putative protein CASTOR3P,PF13840
Q8NAP1,Putative protein CASTOR3P,PF18700
Q15746,"Myosin light chain kinase, smooth muscle",PF16620
Q15746,"Myosin light chain kinase, smooth muscle",PF00041
Q15746,"Myosin light chain kinase, smooth muscle",PF07679
Q15746,"Myosin light chain kinase, smooth muscle",PF00069
P61981,14-3-3 protein gamma,PF00244
P54762,Ephrin type-B receptor 1,PF14575
P54762,Ephrin type-B receptor 1,PF01404
P54762,Ephrin type-B receptor 1,PF00041
P54762,Ephrin type-B receptor 1,PF07714
P54762,Ephrin type-B receptor 1,PF00536
O60308,Centrosomal protein of 104 kDa,PF21040
O60308,Centrosomal protein of 104 kDa,PF21038
O60308,Centrosomal protein of 104 kDa,PF21039
Q86XK7,V-set and immunoglobulin domain-containing protein 1,PF13927
Q86XK7,V-set and immunoglobulin domain-containing protein 1,PF07686
P49841,Glycogen synthase kinase-3 beta,PF00069
Q504Y2,Extracellular tyrosine-protein kinase PKDCC,PF12260
Q8NCD3,Holliday junction recognition protein,PF12347
Q8NCD3,Holliday junction recognition protein,PF12346
Q8NCD3,Holliday junction recognition protein,PF10384
Q9BXA6,Testis-specific serine/threonine-protein kinase 6,PF00069
Q96H55,Unconventional myosin-XIX,PF00063
Q9HC78,Zinc finger and BTB domain-containing protein 20,PF00651
Q9HC78,Zinc finger and BTB domain-containing protein 20,PF00096
P49758,Regulator of G-protein signaling 6,PF00610
P49758,Regulator of G-protein signaling 6,PF00631
P49758,Regulator of G-protein signaling 6,PF00615
P49758,Regulator of G-protein signaling 6,PF18148
Q9QZL0,Receptor-interacting serine/threonine-protein kinase 3,PF00069
Q9QZL0,Receptor-interacting serine/threonine-protein kinase 3,PF12721
A6H8M9,Cadherin-related family member 4,PF00028
Q8NBE8,Kelch-like protein 23,PF07707
Q8NBE8,Kelch-like protein 23,PF00651
Q8NBE8,Kelch-like protein 23,PF01344
Q8NBE8,Kelch-like protein 23,PF24681
Q9BVE2,CDC2L5 protein,PF00069
Q9H9A6,Leucine-rich repeat-containing protein 40,PF13855
Q96T11,Receptor-interacting serine/threonine-protein kinase 4,PF12796
Q96T11,Receptor-interacting serine/threonine-protein kinase 4,PF13637
Q96T11,Receptor-interacting serine/threonine-protein kinase 4,PF00069
O15232,Matrilin-3,PF12662
O15232,Matrilin-3,PF07645
O15232,Matrilin-3,PF14670
O15232,Matrilin-3,PF10393
O15232,Matrilin-3,PF00092
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF00130
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF00780
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF08826
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF15796
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF25346
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF00069
Q5VT25,Serine/threonine-protein kinase MRCK alpha,PF00433
Q8NI77,Kinesin-like protein KIF18A,PF00225
Q15569,Dual specificity testis-specific protein kinase 1,PF07714
Q96Q40,Cyclin-dependent kinase 15,PF00069
Q9NR64,Kelch-like protein 1,PF07707
Q9NR64,Kelch-like protein 1,PF00651
Q9NR64,Kelch-like protein 1,PF01344
Q9Y639,Neuroplastin,PF07679
Q9Y639,Neuroplastin,PF13927
O14746,Telomerase reverse transcriptase,PF00078
O14746,Telomerase reverse transcriptase,PF12009
O14746,Telomerase reverse transcriptase,PF21399
O15160,DNA-directed RNA polymerases I and III subunit RPAC1,PF01000
O15160,DNA-directed RNA polymerases I and III subunit RPAC1,PF01193
Q8N7X4,Melanoma-associated antigen B6,PF01454
Q8N7X4,Melanoma-associated antigen B6,PF12440
Q96QS6,Serine/threonine-protein kinase H2,PF00069
P33993,DNA replication licensing factor MCM7,PF24901
P33993,DNA replication licensing factor MCM7,PF00493
P33993,DNA replication licensing factor MCM7,PF17855
P33993,DNA replication licensing factor MCM7,PF14551
P33993,DNA replication licensing factor MCM7,PF17207
Q9GZT9,Egl nine homolog 1,PF13640
Q9GZT9,Egl nine homolog 1,PF01753
Q13045,Protein flightless-1 homolog,PF00626
Q13045,Protein flightless-1 homolog,PF00560
Q13045,Protein flightless-1 homolog,PF23598
Q13045,Protein flightless-1 homolog,PF13855
Q5GLZ8,Probable E3 ubiquitin-protein ligase HERC4,PF00632
Q5GLZ8,Probable E3 ubiquitin-protein ligase HERC4,PF25390
Q8NB78,Lysine-specific histone demethylase 2,PF01593
Q8NB78,Lysine-specific histone demethylase 2,PF04433
Q8NB78,Lysine-specific histone demethylase 2,PF07496
Q14689,Disco-interacting protein 2 homolog A,PF00501
Q14689,Disco-interacting protein 2 homolog A,PF23024
Q14689,Disco-interacting protein 2 homolog A,PF06464
Q8NI51,Transcriptional repressor CTCFL,PF00096
Q13554,Calcium/calmodulin-dependent protein kinase type II subunit beta,PF08332
Q13554,Calcium/calmodulin-dependent protein kinase type II subunit beta,PF00069
Q9Y5G7,Protocadherin gamma-A6,PF00028
Q9Y5G7,Protocadherin gamma-A6,PF08266
Q9Y5G7,Protocadherin gamma-A6,PF16492
Q9Y5G7,Protocadherin gamma-A6,PF15974
Q9BQP7,Mitochondrial genome maintenance exonuclease 1,PF12705
Q13363,C-terminal-binding protein 1,PF00389
Q13363,C-terminal-binding protein 1,PF02826
P08235,Mineralocorticoid receptor,PF00104
P08235,Mineralocorticoid receptor,PF00105
P42898,Methylenetetrahydrofolate reductase,PF02219
P42898,Methylenetetrahydrofolate reductase,PF21895
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,PF00027
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,PF02197
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,PF00171
Q5SSJ5,Heterochromatin protein 1-binding protein 3,PF00538
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,PF13513
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,PF08623
Q92630,Dual specificity tyrosine-phosphorylation-regulated kinase 2,PF00069
P34925,Tyrosine-protein kinase RYK,PF07714
P34925,Tyrosine-protein kinase RYK,PF02019
P53671,LIM domain kinase 2,PF00412
P53671,LIM domain kinase 2,PF00595
P53671,LIM domain kinase 2,PF07714
Q9H9Q2,COP9 signalosome complex subunit 7b,PF22061
Q9H9Q2,COP9 signalosome complex subunit 7b,PF18392
Q9H9Q2,COP9 signalosome complex subunit 7b,PF01399
Q9HBH0,Rho-related GTP-binding protein RhoF,PF00071
O96017,Serine/threonine-protein kinase Chk2,PF00498
O96017,Serine/threonine-protein kinase Chk2,PF00069
Q8WXH0,Nesprin-2,PF00307
Q8WXH0,Nesprin-2,PF10541
Q8WXH0,Nesprin-2,PF00435
Q8WXH0,Nesprin-2,PF25034
Q8WXH0,Nesprin-2,PF25035
K9N7C7,Replicase polyprotein 1ab,PF13087
K9N7C7,Replicase polyprotein 1ab,PF13604
K9N7C7,Replicase polyprotein 1ab,PF16251
K9N7C7,Replicase polyprotein 1ab,PF11501
K9N7C7,Replicase polyprotein 1ab,PF11633
K9N7C7,Replicase polyprotein 1ab,PF06471
K9N7C7,Replicase polyprotein 1ab,PF06460
K9N7C7,Replicase polyprotein 1ab,PF09401
K9N7C7,Replicase polyprotein 1ab,PF20631
K9N7C7,Replicase polyprotein 1ab,PF20633
K9N7C7,Replicase polyprotein 1ab,PF20632
K9N7C7,Replicase polyprotein 1ab,PF19215
K9N7C7,Replicase polyprotein 1ab,PF19216
K9N7C7,Replicase polyprotein 1ab,PF19219
K9N7C7,Replicase polyprotein 1ab,PF19212
K9N7C7,Replicase polyprotein 1ab,PF19211
K9N7C7,Replicase polyprotein 1ab,PF19218
K9N7C7,Replicase polyprotein 1ab,PF16348
K9N7C7,Replicase polyprotein 1ab,PF19217
K9N7C7,Replicase polyprotein 1ab,PF19213
K9N7C7,Replicase polyprotein 1ab,PF08716
K9N7C7,Replicase polyprotein 1ab,PF08717
K9N7C7,Replicase polyprotein 1ab,PF08710
K9N7C7,Replicase polyprotein 1ab,PF08715
K9N7C7,Replicase polyprotein 1ab,PF06478
K9N7C7,Replicase polyprotein 1ab,PF01661
K9N7C7,Replicase polyprotein 1ab,PF05409
K9N7C7,Replicase polyprotein 1ab,PF00680
P0DTC9,Nucleoprotein,PF00937
O00398,Putative P2Y purinoceptor 10,PF00001
Q59GT1,Inhibitor of nuclear factor kappa-B kinase subunit alpha,PF18397
Q59GT1,Inhibitor of nuclear factor kappa-B kinase subunit alpha,PF00069
Q9BV07,non-specific serine/threonine protein kinase,PF00069
Q9BV07,non-specific serine/threonine protein kinase,PF00433
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,PF00076
Q6PD62,RNA polymerase-associated protein CTR9 homolog,PF13374
Q6PD62,RNA polymerase-associated protein CTR9 homolog,PF14559
Q6PD62,RNA polymerase-associated protein CTR9 homolog,PF13181
Q7Z6G3,N-terminal EF-hand calcium-binding protein 2,PF03992
Q7Z6G3,N-terminal EF-hand calcium-binding protein 2,PF13499
Q96FW1,Ubiquitin thioesterase OTUB1,PF10275
Q9UJA3,DNA helicase MCM8,PF00493
Q9UJA3,DNA helicase MCM8,PF17855
Q9UJA3,DNA helicase MCM8,PF17207
Q9UJA3,DNA helicase MCM8,PF25051
O43318,Mitogen-activated protein kinase kinase kinase 7,PF07714
P08123,Collagen alpha-2,PF01410
P08123,Collagen alpha-2,PF01391
Q96NE9,FERM domain-containing protein 6,PF09380
Q96NE9,FERM domain-containing protein 6,PF00373
Q96NE9,FERM domain-containing protein 6,PF09379
Q14164,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,PF00069
Q14164,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,PF18394
Q14164,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,PF18396
Q969F0,Fetal and adult testis-expressed transcript protein,PF05644
Q96J94,Piwi-like protein 1,PF08699
Q96J94,Piwi-like protein 1,PF05831
Q96J94,Piwi-like protein 1,PF02170
Q96J94,Piwi-like protein 1,PF02171
Q96J94,Piwi-like protein 1,PF23278
Q9H5Y7,SLIT and NTRK-like protein 6,PF13855
P22694,cAMP-dependent protein kinase catalytic subunit beta,PF00069
O00213,Amyloid beta precursor protein binding family B member 1,PF00640
O00213,Amyloid beta precursor protein binding family B member 1,PF00397
Q09028,Histone-binding protein RBBP4,PF12265
Q09028,Histone-binding protein RBBP4,PF00400
Q9HCE6,Rho guanine nucleotide exchange factor 10-like protein,PF19057
Q9HCE6,Rho guanine nucleotide exchange factor 10-like protein,PF00621
Q9HCE6,Rho guanine nucleotide exchange factor 10-like protein,PF19056
Q9Y3M8,StAR-related lipid transfer protein 13,PF00620
Q9Y3M8,StAR-related lipid transfer protein 13,PF07647
Q9Y3M8,StAR-related lipid transfer protein 13,PF01852
Q9ERU9,E3 SUMO-protein ligase RanBP2,PF12185
Q9ERU9,E3 SUMO-protein ligase RanBP2,PF00160
Q9ERU9,E3 SUMO-protein ligase RanBP2,PF00638
Q9ERU9,E3 SUMO-protein ligase RanBP2,PF00641
Q96CD0,F-box/LRR-repeat protein 8,PF12937
P61247,Small ribosomal subunit protein eS1,PF01015
Q8NFZ5,TNFAIP3-interacting protein 2,PF12180
Q05940,Synaptic vesicular amine transporter,PF07690
Q15303,Receptor tyrosine-protein kinase erbB-4,PF00757
Q15303,Receptor tyrosine-protein kinase erbB-4,PF14843
Q15303,Receptor tyrosine-protein kinase erbB-4,PF07714
Q15303,Receptor tyrosine-protein kinase erbB-4,PF01030
Q15303,Receptor tyrosine-protein kinase erbB-4,PF21314
Q8IWU5,Extracellular sulfatase Sulf-2,PF12548
Q8IWU5,Extracellular sulfatase Sulf-2,PF00884
Q9Y4C4,Malignant fibrous histiocytoma-amplified sequence 1,PF13855
P42345,Serine/threonine-protein kinase mTOR,PF02259
P42345,Serine/threonine-protein kinase mTOR,PF02260
P42345,Serine/threonine-protein kinase mTOR,PF08771
P42345,Serine/threonine-protein kinase mTOR,PF23593
P42345,Serine/threonine-protein kinase mTOR,PF11865
P42345,Serine/threonine-protein kinase mTOR,PF00454
Q9H9F9,Actin-related protein 5,PF00022
Q9NQ79,Cartilage acidic protein 1,PF07645
Q9NQ79,Cartilage acidic protein 1,PF13517
Q9NQ79,Cartilage acidic protein 1,PF07593
O75385,Serine/threonine-protein kinase ULK1,PF12063
O75385,Serine/threonine-protein kinase ULK1,PF21127
O75385,Serine/threonine-protein kinase ULK1,PF00069
Q676U5,Autophagy-related protein 16-1,PF08614
Q676U5,Autophagy-related protein 16-1,PF00400
Q9UM73,ALK tyrosine kinase receptor,PF12810
Q9UM73,ALK tyrosine kinase receptor,PF00629
Q9UM73,ALK tyrosine kinase receptor,PF07714
Q9NWS0,PIH1 domain-containing protein 1,PF08190
Q9NWS0,PIH1 domain-containing protein 1,PF18201
Q9UBB9,Tuftelin-interacting protein 11,PF01585
Q9UBB9,Tuftelin-interacting protein 11,PF07842
Q9UBB9,Tuftelin-interacting protein 11,PF12457
P49336,Cyclin-dependent kinase 8,PF00069
Q13620,Cullin-4B,PF00888
Q13620,Cullin-4B,PF10557
Q16342,Programmed cell death protein 2,PF04194
Q16342,Programmed cell death protein 2,PF01753
P59596,Membrane protein,PF01635
Q6PJQ5,Forkhead box protein R2,PF00250
Q5MCW4,Zinc finger protein 569,PF01352
Q5MCW4,Zinc finger protein 569,PF00096
P55072,Transitional endoplasmic reticulum ATPase,PF00004
P55072,Transitional endoplasmic reticulum ATPase,PF17862
P55072,Transitional endoplasmic reticulum ATPase,PF02933
P55072,Transitional endoplasmic reticulum ATPase,PF02359
Q09161,Nuclear cap-binding protein subunit 1,PF02854
Q09161,Nuclear cap-binding protein subunit 1,PF09088
Q09161,Nuclear cap-binding protein subunit 1,PF09090
Q99615,DnaJ homolog subfamily C member 7,PF00226
Q99615,DnaJ homolog subfamily C member 7,PF13414
Q99615,DnaJ homolog subfamily C member 7,PF13432
Q99615,DnaJ homolog subfamily C member 7,PF13181
Q9UQ07,MAPK/MAK/MRK overlapping kinase,PF00069
Q96SY0,Integrator complex subunit 14,PF19435
Q96SY0,Integrator complex subunit 14,PF20504
Q96SY0,Integrator complex subunit 14,PF13519
Q9BRD0,BUD13 homolog,PF09736
O76083,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",PF00233
Q13535,Serine/threonine-protein kinase ATR,PF02259
Q13535,Serine/threonine-protein kinase ATR,PF02260
Q13535,Serine/threonine-protein kinase ATR,PF23593
Q13535,Serine/threonine-protein kinase ATR,PF25030
Q13535,Serine/threonine-protein kinase ATR,PF25032
Q13535,Serine/threonine-protein kinase ATR,PF00454
Q13535,Serine/threonine-protein kinase ATR,PF08064
Q9GZQ8,Microtubule-associated protein 1 light chain 3 beta,PF02991
Q71SY5,Mediator of RNA polymerase II transcription subunit 25,PF11232
Q71SY5,Mediator of RNA polymerase II transcription subunit 25,PF11235
Q71SY5,Mediator of RNA polymerase II transcription subunit 25,PF11265
P51957,Serine/threonine-protein kinase Nek4,PF00069
Q9H6T3,RNA polymerase II-associated protein 3,PF13877
Q9H6T3,RNA polymerase II-associated protein 3,PF00515
Q9H6T3,RNA polymerase II-associated protein 3,PF13432
Q9H6T3,RNA polymerase II-associated protein 3,PF13181
Q9HCE1,Helicase MOV-10,PF13086
Q9HCE1,Helicase MOV-10,PF13087
Q9HCE1,Helicase MOV-10,PF21634
Q9HCE1,Helicase MOV-10,PF21635
Q9HCE1,Helicase MOV-10,PF21633
Q9HCE1,Helicase MOV-10,PF21632
Q923J1,Transient receptor potential cation channel subfamily M member 7,PF02816
Q923J1,Transient receptor potential cation channel subfamily M member 7,PF00520
Q923J1,Transient receptor potential cation channel subfamily M member 7,PF18139
Q923J1,Transient receptor potential cation channel subfamily M member 7,PF25508
Q923J1,Transient receptor potential cation channel subfamily M member 7,PF16519
Q9R0Q3,Transmembrane emp24 domain-containing protein 2,PF01105
Q60823,RAC-beta serine/threonine-protein kinase,PF00169
Q60823,RAC-beta serine/threonine-protein kinase,PF00069
Q60823,RAC-beta serine/threonine-protein kinase,PF00433
P0DOE9,Non-structural protein 1,PF03438
Q96ME1,F-box/LRR-repeat protein 18,PF12937
Q96ME1,F-box/LRR-repeat protein 18,PF19729
Q5VXU3,Cysteine-rich hydrophobic domain-containing protein 1,PF10256
Q8N9N7,Leucine-rich repeat-containing protein 57,PF23598
Q8N9N7,Leucine-rich repeat-containing protein 57,PF13855
Q9Y4R8,Telomere length regulation protein TEL2 homolog,PF25320
Q9Y4R8,Telomere length regulation protein TEL2 homolog,PF10193
P33992,DNA replication licensing factor MCM5,PF00493
P33992,DNA replication licensing factor MCM5,PF21933
P33992,DNA replication licensing factor MCM5,PF17855
P33992,DNA replication licensing factor MCM5,PF14551
P33992,DNA replication licensing factor MCM5,PF17207
Q16512,Serine/threonine-protein kinase N1,PF02185
Q16512,Serine/threonine-protein kinase N1,PF00069
Q16512,Serine/threonine-protein kinase N1,PF00433
Q9H7B4,Histone-lysine N-methyltransferase SMYD3,PF00856
Q9H7B4,Histone-lysine N-methyltransferase SMYD3,PF01753
Q9NXB0,Tectonic-like complex member MKS1,PF07162
P36956,Sterol regulatory element-binding protein 1,PF00010
P49407,Beta-arrestin-1,PF02752
P49407,Beta-arrestin-1,PF00339
Q15139,Serine/threonine-protein kinase D1,PF00130
Q15139,Serine/threonine-protein kinase D1,PF00169
Q15139,Serine/threonine-protein kinase D1,PF00069
Q02080,Myocyte-specific enhancer factor 2B,PF00319
Q9H2F5,Enhancer of polycomb homolog 1,PF06752
Q9H2F5,Enhancer of polycomb homolog 1,PF10513
P32298,G protein-coupled receptor kinase 4,PF00069
P32298,G protein-coupled receptor kinase 4,PF00615
Q9BVG8,Kinesin-like protein KIFC3,PF00225
Q8WYH8,Inhibitor of growth protein 5,PF12998
Q8NI60,"Atypical kinase COQ8A, mitochondrial",PF03109
Q96KV7,WD repeat-containing protein 90,PF23393
Q96KV7,WD repeat-containing protein 90,PF05018
Q96KV7,WD repeat-containing protein 90,PF00400
Q96KV7,WD repeat-containing protein 90,PF23342
Q13555,Calcium/calmodulin-dependent protein kinase type II subunit gamma,PF08332
Q13555,Calcium/calmodulin-dependent protein kinase type II subunit gamma,PF00069
Q9NSC5,Homer protein homolog 3,PF00568
Q8IWF6,Protein DENND6A,PF09794
Q5SVZ6,Zinc finger MYM-type protein 1,PF05699
Q5SVZ6,Zinc finger MYM-type protein 1,PF14291
Q5SVZ6,Zinc finger MYM-type protein 1,PF24900
Q5SVZ6,Zinc finger MYM-type protein 1,PF06467
Q9BZG7,Androgen receptor,PF02166
P62310,U6 snRNA-associated Sm-like protein LSm3,PF01423
Q9NRQ2,Phospholipid scramblase 4,PF03803
Q9UHK6,Alpha-methylacyl-CoA racemase,PF02515
P06702,Protein S100-A9,PF01023
Q9H4P4,E3 ubiquitin-protein ligase NRDP1,PF08941
Q9H4P4,E3 ubiquitin-protein ligase NRDP1,PF13923
Q9P2S5,WD repeat-containing protein WRAP73,PF00400
Q8NHQ9,ATP-dependent RNA helicase DDX55,PF13959
Q8NHQ9,ATP-dependent RNA helicase DDX55,PF00270
Q8NHQ9,ATP-dependent RNA helicase DDX55,PF00271
Q38SD2,Leucine-rich repeat serine/threonine-protein kinase 1,PF16095
Q38SD2,Leucine-rich repeat serine/threonine-protein kinase 1,PF25497
Q38SD2,Leucine-rich repeat serine/threonine-protein kinase 1,PF00560
Q38SD2,Leucine-rich repeat serine/threonine-protein kinase 1,PF00069
Q38SD2,Leucine-rich repeat serine/threonine-protein kinase 1,PF08477
Q8IXW5,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2,PF04181
Q92917,G-patch domain and KOW motifs-containing protein,PF12656
Q92917,G-patch domain and KOW motifs-containing protein,PF25088
Q92917,G-patch domain and KOW motifs-containing protein,PF00467
Q6UY14,ADAMTS-like protein 4,PF19236
Q6UY14,ADAMTS-like protein 4,PF05986
Q6UY14,ADAMTS-like protein 4,PF08686
Q6UY14,ADAMTS-like protein 4,PF19030
Q6UY14,ADAMTS-like protein 4,PF00090
Q71U36,Tubulin alpha-1A chain,PF00091
Q71U36,Tubulin alpha-1A chain,PF03953
Q9NP81,"Serine--tRNA ligase, mitochondrial",PF00587
Q9UKB1,F-box/WD repeat-containing protein 11,PF12125
Q9UKB1,F-box/WD repeat-containing protein 11,PF12937
Q9UKB1,F-box/WD repeat-containing protein 11,PF00400
Q9Y2L9,Leucine-rich repeat and calponin homology domain-containing protein 1,PF00307
Q9Y2L9,Leucine-rich repeat and calponin homology domain-containing protein 1,PF13855
P06239,Tyrosine-protein kinase Lck,PF07714
P06239,Tyrosine-protein kinase Lck,PF00017
P06239,Tyrosine-protein kinase Lck,PF00018
Q96RT1,Erbin,PF23598
Q96RT1,Erbin,PF13855
Q96RT1,Erbin,PF00595
Q9Y312,Protein AAR2 homolog,PF05282
Q9Y312,Protein AAR2 homolog,PF20981
P22455,Fibroblast growth factor receptor 4,PF07679
P22455,Fibroblast growth factor receptor 4,PF13927
P22455,Fibroblast growth factor receptor 4,PF07714
